duration_s,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,pps,bps,avg_pkt_size,pkts_dir_ratio,bytes_dir_ratio,syn_asymmetry,pkts_asymmetry,dir_entropy,server_pps,client_pps,server_bps,client_bps,bytes_per_server_pkt,bytes_per_client_pkt,l4_port_class_src,l4_port_class_dst,is_internal_src,is_internal_dst,pat_int_int,pat_int_ext,pat_ext_int,pat_ext_ext,time_of_day_sin,time_of_day_cos,proto_TCP,proto_UDP,proto_ICMP,tcp_flag_SYN,tcp_flag_ACK,tcp_flag_FIN,tcp_flag_RST,tcp_flag_PSH,tcp_flag_URG,tcp_flag_ECE,tcp_flag_CWR,tcp_handshake_ok,dstp_80,dstp_443,dstp_53,dstp_123,dstp_22,dstp_25,dstp_3389,dstp_445,dstp_5353,dstp_8080,dstp_8000,dstp_other,small_flow_flag,long_flow_flag
52.0,80,235,207,0,315,207,6.0576923076923075,31.846153846153847,0.6571428571428571,0.3404255319148936,207.0,1.0,-0.49206349206349204,-0.0,1.5384615384615385,4.519230769230769,31.846153846153847,0.0,2.5875,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
64.0,92,166,138,0,258,138,4.03125,17.25,0.5348837209302325,0.5542168674698795,138.0,1.0,-0.2868217054263566,-0.0,1.4375,2.59375,17.25,0.0,1.5,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
59.0,87,161,133,0,248,133,4.203389830508475,18.033898305084747,0.5362903225806451,0.5403726708074534,133.0,1.0,-0.29838709677419356,-0.0,1.4745762711864407,2.7288135593220337,18.033898305084747,0.0,1.528735632183908,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
59.0,87,103,75,0,190,75,3.2203389830508473,10.169491525423728,0.39473684210526316,0.8446601941747572,75.0,1.0,-0.08421052631578947,-0.0,1.4745762711864407,1.7457627118644068,10.169491525423728,0.0,0.8620689655172413,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
59.0,87,161,133,0,248,133,4.203389830508475,18.033898305084747,0.5362903225806451,0.5403726708074534,133.0,1.0,-0.29838709677419356,-0.0,1.4745762711864407,2.7288135593220337,18.033898305084747,0.0,1.528735632183908,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5156.0,5492,4796,4460,0,10288,4460,1.995345228859581,6.920093095422809,0.4335147744945568,1.1451209341117599,4460.0,1.0,0.06765163297045101,-0.0,1.065166795965865,0.930178432893716,6.920093095422809,0.0,0.8120903131828113,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2121.0,2633,1198,830,0,3831,830,1.8062234794908063,3.1305987741631305,0.2166536152440616,2.197829716193656,830.0,1.0,0.3745758287653354,-0.0,1.2413955681282414,0.5648279113625648,3.1305987741631305,0.0,0.31522977592100265,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5851.0,6715,9283,8323,0,15998,8323,2.7342334643650656,11.37993505383695,0.5202525315664458,0.7233652913928686,8323.0,1.0,-0.16052006500812602,-0.0,1.1476670654588959,1.5865663989061698,11.37993505383695,0.0,1.239463886820551,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
140.0,8948,131588,122482,0,140536,122482,1003.8285714285714,6998.971428571429,0.8715346957363238,0.0680001215916345,122482.0,1.0,-0.8726589628280298,-0.0,63.91428571428571,939.9142857142857,6998.971428571429,0.0,13.688198480107287,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
196.0,700,1176,168,0,1876,168,9.571428571428571,6.857142857142857,0.08955223880597014,0.5952380952380952,168.0,1.0,-0.2537313432835821,-0.0,3.5714285714285716,6.0,6.857142857142857,0.0,0.24,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
